Files already downloaded and verified
Files already downloaded and verified
[(0, 20), (1, 20), (2, 20), (3, 20), (4, 20)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  57, time= 13.1s | Train: skip eval | Valid: time=  6.4s loss=18.042, TAw acc= 60.6% |
| Epoch  58, time= 13.2s | Train: skip eval | Valid: time=  6.4s loss=18.027, TAw acc= 60.2% |
| Epoch  59, time= 13.2s | Train: skip eval | Valid: time=  6.2s loss=18.050, TAw acc= 60.1% |
| Epoch  60, time= 13.2s | Train: skip eval | Valid: time=  6.4s loss=18.019, TAw acc= 60.8% |
| Epoch  61, time= 13.2s | Train: skip eval | Valid: time=  6.4s loss=18.011, TAw acc= 59.8% | lr=1.4e-04
| Epoch  62, time= 13.2s | Train: skip eval | Valid: time=  6.3s loss=18.041, TAw acc= 60.3% |
| Epoch  63, time= 13.2s | Train: skip eval | Valid: time=  6.4s loss=18.029, TAw acc= 59.9% |
| Epoch  64, time= 13.2s | Train: skip eval | Valid: time=  6.4s loss=18.057, TAw acc= 60.4% |
| Epoch  65, time= 13.2s | Train: skip eval | Valid: time=  6.2s loss=18.038, TAw acc= 60.1% |
| Epoch  66, time= 13.2s | Train: skip eval | Valid: time=  6.2s loss=18.095, TAw acc= 60.2% | lr=4.6e-05
| Selected 6000 train exemplars, time=  0.4s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=2.671 | TAw acc= 58.0%, forg= -0.9%| TAg acc= 47.4%, forg=  8.6% <<<
>>> Test on task  1 : loss=10.875 | TAw acc= 61.2%, forg=  2.5%| TAg acc= 42.4%, forg= 10.0% <<<
>>> Test on task  2 : loss=17.947 | TAw acc= 54.0%, forg=  0.0%| TAg acc= 34.4%, forg=  0.0% <<<
Save at C:\Users\Erik\Desktop\hopp\cifar100_icarl
************************************************************************************************************
Task  3
************************************************************************************************************
| Epoch   1, time= 15.2s | Train: skip eval | Valid: time=  6.4s loss=26.422, TAw acc= 48.3% | *
| Epoch   2, time= 15.0s | Train: skip eval | Valid: time=  6.4s loss=25.971, TAw acc= 49.4% | *
| Epoch   3, time= 15.0s | Train: skip eval | Valid: time=  6.3s loss=29.160, TAw acc= 47.0% |
| Epoch   4, time= 15.0s | Train: skip eval | Valid: time=  6.4s loss=25.710, TAw acc= 52.1% | *
| Epoch   5, time= 15.0s | Train: skip eval | Valid: time=  6.4s loss=25.910, TAw acc= 52.0% |
| Epoch   6, time= 15.0s | Train: skip eval | Valid: time=  6.4s loss=25.856, TAw acc= 56.4% |
| Epoch   7, time= 15.1s | Train: skip eval | Valid: time=  6.3s loss=26.454, TAw acc= 51.8% |
| Epoch   8, time= 15.0s | Train: skip eval | Valid: time=  6.4s loss=30.723, TAw acc= 49.6% |
| Epoch   9, time= 15.1s | Train: skip eval | Valid: time=  6.3s loss=50.988, TAw acc= 34.5% | lr=3.3e-02
| Epoch  10, time= 15.2s | Train: skip eval | Valid: time=  6.4s loss=25.084, TAw acc= 55.6% | *
| Epoch  11, time= 15.0s | Train: skip eval | Valid: time=  6.4s loss=24.868, TAw acc= 55.0% | *
| Epoch  12, time= 15.1s | Train: skip eval | Valid: time=  6.3s loss=24.787, TAw acc= 54.7% | *
| Epoch  13, time= 15.2s | Train: skip eval | Valid: time=  6.4s loss=25.537, TAw acc= 55.2% |
| Epoch  14, time= 15.1s | Train: skip eval | Valid: time=  6.3s loss=25.059, TAw acc= 55.2% |
| Epoch  15, time= 15.0s | Train: skip eval | Valid: time=  6.3s loss=25.303, TAw acc= 56.4% |
| Epoch  16, time= 15.0s | Train: skip eval | Valid: time=  6.4s loss=24.719, TAw acc= 57.9% | *
| Epoch  17, time= 15.0s | Train: skip eval | Valid: time=  6.4s loss=25.215, TAw acc= 55.2% |
| Epoch  18, time= 15.0s | Train: skip eval | Valid: time=  6.4s loss=24.682, TAw acc= 56.8% | *
| Epoch  19, time= 15.2s | Train: skip eval | Valid: time=  6.3s loss=24.668, TAw acc= 57.7% | *
| Epoch  20, time= 15.0s | Train: skip eval | Valid: time=  6.4s loss=130.603, TAw acc= 21.5% |
| Epoch  21, time= 15.0s | Train: skip eval | Valid: time=  6.3s loss=29.625, TAw acc= 41.5% |
| Epoch  22, time= 15.0s | Train: skip eval | Valid: time=  6.4s loss=25.960, TAw acc= 53.8% |
| Epoch  23, time= 15.0s | Train: skip eval | Valid: time=  6.4s loss=25.360, TAw acc= 55.4% |
| Epoch  24, time= 15.0s | Train: skip eval | Valid: time=  6.4s loss=24.736, TAw acc= 57.2% | lr=1.1e-02
